Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
02553/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA RECUPERACIÓN, CONSERVACIÓN Y PUESTA EN VALOR DEL COLEGIO REAL SAN FELIPE DE LA UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS, BIEN INTEGRANTE DEL PATRIMONIO CULTURAL DE LA NACIÓN;Propone declarar de interés nacional y necesidad pública la recuperación, conservación y puesta en valor del Colegio Real San Felipe de la Universidad Nacional Mayor de San Marcos, bien integrante del Patrimonio Cultural de la Nación.
02552/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;"LEY QUE DECLARA DE INTERÉS NACIONAL LA DECLARACIÓN DE PATRIMONIO CULTURAL DE LA NACIÓN A LAS COMPOSICIONES MUSICALES """"Y SE LLAMA PERÚ"""" Y """"CONTIGO PERÚ"""" DEL GRAN MAESTRO AUGUSTO POLO CAMPOS";"Propone declarar de interés nacional la declaración de Patrimonio Cultural de la Nación, en el rubro inmaterial, a las composiciones musicales """"Y se lla ma Perú"""" y """"Contigo Perú"""", de autoría del gran maestro Augusto Polo Campos, por constituir temas emblemáticos del cancionero nacional que han contribuido al desarrollo de nuestra música criolla y afroperuana, así como de la identidad nacional."
02551/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;15/03/2018;Congreso;Fuerza Popular;LEY QUE CREA LA COMISIÓN ESPECIAL MULTISECTORIAL ENCARGADA DEL ESTUDIO Y EL DISEÑO DEL RÉGIMEN DE LA CARRERA DEL INVESTIGADOR CIENTÍFICO AL QUE INCORPORAN INVESTIGADORES NACIONALES Y EXTRANJEROS ALTAMENTE ESPECIALIZADOS;Propone creación de una Comisión Multisectorial encargada del estudio y diseño del régimen de la carrera del Investigador Científico a que incorporan investigadores nacionales y extranjeros altamente especializados.
02550/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Fuerza Popular;LEY DE INCENTIVOS PARA LAS PLANTACIONES FORESTALES;Propone impulsar la inversión pública y privada, para la instalación de plantaciones forestales y los sistemas agroforestales, con fines de protección y producción de madera, implementando herramientas de gestión eficiente del gasto público, para el pago por árbol prendido en terreno definitivo, mediante un fondo forestal, promoviendo mejoras económicas sociales, dentro de un marco competitivo ambiental, frente a los efectos del cambio climático.
02549/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL EL CAMBIO DE GRUPO OCUPACIONAL Y CAMBIO DE LÍNEA DE CARRERA DE LOS TÉCNICOS ASISTENCIALES Y ADMINISTRATIVOS DEL SEGURO SOCIAL DE SALUD-ESSALUD, A NIVEL NACIONAL;Propone declarar de necesidad pública e interés nacional el cambio de grupo ocupacional y cambio de línea de carrera de los técnicos asistenciales y administrativos del seguro social de salud-Essalud, a nivel nacional, conforme al presupuesto y necesidades del sector.
02548/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA EL ARTÍCULO 27 DE LA LEY 29459, LEY DE LOS PRODUCTOS FARMACÉUTICOS, DISPOSITIVOS MÉDICOS Y PRODUCTOS SANITARIOS, Y ESTABLECE LA OBLIGATORIEDAD DE MATENER STOCKS MÍNIMO DE MEDICAMENTOS GENÉRICOS EN LAS FARMACIAS Y BOTICAS;Propone modificar el artículo 27 de la Ley 29459, Ley de los productos farmacéuticos, dispositivos médicos y productos sanitarios.
02547/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE NECESIDD PÚBLICA Y PREFERENTE INTERÉS NACIONAL LA CONSERVACIÓN, RESTAURACIÓN, PROTECCIÓN Y PUESTA EN VALOR DEL SITIO ARQUEOLÓGICO DE PUSHARO, CONJUNTO DE PETROGLIFOS, UBICADOS EN EL DISTRITO DEL MANU, PROVINCIA DEL MANU, DEPARTAMENTO DE MADRE DE DIOS;Propone declarar de interés nacional y necesidad pública la restauración, conservación, protección y puesta en valor del sitio arqueológico de Pusharo, conjunto de petroglifos, ubicado en el distrito de Manu, provincia de Manu, departamento de Madre de Dios.
02546/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Acción Popular;LEY QUE DECLARA DE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE HUALLAMAYO EN LA PROVINCIA DE PASCO, DEPARTAMENTO DE PASCO;Propone declarar de interés nacional la creación del distrito de Huallamayo, en la provincia de Pasco, región Pasco,
02545/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;14/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL MINISTERIO DEL DEPORTE;Propone declarar de interés nacional la creación del Ministerio del Deporte
02544/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;13/03/2018;Congreso;No Agrupados;LEY QUE DECLARA EL 23 DE JULIO DE 1852 COMO FECHA DE CREACIÓN POLÍTICA DEL DISTRITO DE YANACANCHA, PROVINCIA Y DEPARTAMENTO DE PASCO;Propone declarar el 23 de julio de 1852 como fecha de creación política del distrito de Yanacancha, provincia y departamento de Pasco.
02543/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;13/03/2018;Congreso;Fuerza Popular;LEY QUE GARANTIZA EL PAGO DE LA REPARACIÓN CIVIL EN CASOS DE VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR;Propone declarar de preferente interés nacional y necesidad pública la priorización del pago de las reparaciones civiles destinadas a reparar o indemnizar a las víctimas de violencia contra la mujere y violaciones sexuales
02542/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;12/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL AEROPUERTO DE VICCO;Propone declarar de necesidad pública e interés nacional la construcción de un aeropuerto en el distrito de Vicco, provincia de Pasco, departamento de Pasco, a fin de dinamizar la conexión área nacional, así como impulsar el turismo y otras actividades económicas, como parte del desarrollo sostenible de esta región y el país.
02541/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;09/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA LA LEY 29370, LEY DE ORGANIZACIÓN Y FUNCIONES DEL MINISTERIO DE TRANSPORTES Y COMUNICACIONES;Propone modificar los artículos 1, 3, 4, 6, 9, 12 de la Ley 29370, Ley de Organización y Funciones del Ministerio de Transportes y Comunicaciones.
02540/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;09/03/2018;Congreso;Fuerza Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL LA CONSTRUCCIÓN DEL AEROPUERTO DE OXAPAMPA;Propone declarar de necesidad pública e interés naciconal la construcción de un aeropuerto en la provincia de Oxapampa, departamento de Pasco, a fin de dinamizar la conexión área nacional, así como impulsar el turismo y otras actividades económicas.
02539/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;09/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA PARCIALMENTE LOS ARTÍCULOS 2, 4, 5 DE LA LEY 13694, CRÉASE UN PARQUE NACIONAL, EN LA PROVINCIA DE CUTERVO, EN EL DEPARTAMENTO DE CAJAMARCA;Propone modificar parcialmente los artículos 2, 4, 5 de la Ley 13694, créase un Parque Nacional, en la provincia de Cutervo, en el departamento de Cajamarca, con el fin de actualizarla para el mejoramiento de su aplicación.
02538/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;09/03/2018;Congreso;No Agrupados;LEY QUE ACELERA LOS PROCESOS DE ALIMENTOS;Propone modificar el artículo 168 del Código de los Niños y Adolescentes, referido a la fijación de audiencia única en los procesos de alimentos.
02537/2017-CR;2016 - 2021;Segunda Legislatura Ordinaria 2017;09/03/2018;Congreso;Fuerza Popular;LEY QUE MODIFICA LA DECIMOSEXTA DISPOSICIÓN COMPLEMENTARIA FINAL DE LA LEY DE PRESUPUESTO DEL SECTOR PÚBLICO 2018;Propone modificar el primer párrafo de la Decimosexta Disposición Complementaria Final de la Ley 30693, Ley de Presupuesto del Sector Público para el Año Fiscal 2018, respecto a la continuidad de proyectos de inversión.
