Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
07704/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE MARKANSAYA EN LA PROVINCIA DE COTABAMBA, DEPARTAMENTO DE APURÍMAC;Propone declarar de interés nacional y nesecidad pública la creación del distrito Markansaya con su capital Patán, en la provincia de Cotabamba departamento de Apurímac.
07703/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;14/05/2021;Congreso;Unión por el Perú;LEY DE INTERÉS HISTÓRICA NACIONAL QUE DECLARA HÉROE DE LA INDEPENDENCIA DEL PERÚ A BASILIO AUQUI HUAYTALLA DEL DISTRITO DE LOS MOROCHUCOS - PROVINCIA DE CANGALLO - AYACUCHO;"Propone reconocer el protagonismo histórico de Pablo Basilio Auqui Huaytalla en el proceso de la lucha por la independencia del Perú del dominio español, declarándolo como héroe nacional de la independencia; esto en el marco de la celebraciónes del Bicentenario de la Proclamación de la Independencia de nuestro país."
07702/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Acción Popular;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y PREFERENTE INTERÉS NACIONAL LA CREACIÓN DEL DISTRITO DE FILA ALTA;Propone declarar de necesidad pública y preferente interés nacional la creación del distrito de Fila Alta, en la provincia de Jaén, región Cajamarca.
07701/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Unión por el Perú;"LEY QUE DECLARA """"CIUDAD BENEMÉRITA Y HERÓICA"""" A LA CUIDAD DE ZAPITA, PROVINCIA DE CHUCUITO, DEPARTAMENTO DE PUNO Y DISPONE SU INCORPORACIÓN EN LA AGENDA DE CONMEMORACIÓN DEL BICENTENARIO POR LA INDEPENDENCIA DEL PERÚ";"Propone declarar como """"Ciudad Benemérita y Heroica"""" a la ciudad de Zepita, provincia de Chucuito y departamento de Puno, así como el 25 de agosto de cada año como Día Nacional de la Batalla de Zepita, con la finalidad de fortalecer la identidad historica de la Región Puno, revalorando y reivindicando este acontecimiento historico que favoreció la independencia del Perú."
07700/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Partido Morado;LEY QUE DECLARA DE NECESIDAD NACIONAL Y PRIORITARIA LA INVESTIGACIÓN DE LOS MONUMENTOS ARQUEOLÓGICOS PREHISPÁNICOS Y SITIOS PALEONTOLÓGICOS CON FINES CIENTÍFICOS, DE USO SOCIAL Y TURÍSTICO;Propone declarar de necesidad nacional y prioritaria la investigación de los monumentos arqueológicos prehispánicos y sitios paleontológicos con fines científicos, de uso social y turístico.
07699/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Alianza Para el Progreso;"LEY QUE DECLARA LA PRIMERA SEMANA DEL MES DE JULIO COMO LA """"SEMANA CIENTÍFICA, TECNOLÓGICA E INNOVACIÓN EN LA EDUCACIÓN BÁSICA REGULAR""";"Propone declarar la primera semana del mes de julio de cada año como """"La Semana Cientifica Tecnológica e Innovación en la Educación Básica Regular"""", con el fin de impulsar, promover, fortalecer y consolidar las competencias y capacidades pedegogicas de ciencia, tecnología e innovación en los niveles de educación inicial, primaria y secundaria."
07698/2020-PE;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Poder Ejecutivo;;LEY QUE MODIFICA EL ARTÍCULO 2 DE LA LEY 28455, LEY QUE CREA EL FONDO PARA LAS FUERZAS ARMADAS Y POLICÍA NACIONAL;Propone modificar el artículo 2 de la Ley 28455, Ley que crea el fondo para las Fuerzas Armadas y Policía Nacional, a efectos de incrementar los ingresos del Fondo para las Fuerzas Armadas y Policía Nacional, a través del aumento y la incorporación de regalías percibidas por el Gobierno Nacional en los Lotes 57 y 58 de Camisea.
07697/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y DE INTERÉS NACIONAL LA CONSTRUCCIÓN DEL AERÓDROMO DE QUILLABAMBA;Propone declarar de necesidad pública y de interés nacional la construcción del aeródromo de la ciudad de Quillabamba, distrito de Santa Ana, de la provincia de La Covención, departamento de Cusco, con la finalidad promover el desarrollo trurístico de la región Cusco.
07696/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Congreso;Alianza Para el Progreso;LEY QUE RECONOCE AL DISTRITO DE VILCABAMBA COMO EL ÚLTIMO BASTIÓN DE LA RESISTENCIA INCA;Propone reconocer al distrito de Vilcabamba, provincia de La Convención, del departamento de Cusco, como último bastión de la resistencia inca,
07695/2020-PE;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Poder Ejecutivo;;LEY DE CREACIÓN DEL DISTRITO HUAYCÁN EN LA PROVINCIA Y DEPARTAMENTO DE LIMA;Propone crear el distrito Huaycán, con su capital Huaycán, en la provincia y departamento de Lima (Proyecto actualizado por acuerdo del Consejo Directivo número anterior 5118/2015-PE)
07694/2020-JNE;2016 - 2021;Tercera Legislatura Ordinaria 2020;13/05/2021;Jurado Nacional de Elecciones;;LEY QUE MODIFICA LA LEY 26486, LEY ORGÁNICA DEL JURADO NACIONAL DE ELECCIONES;Propone modificar la Ley 26486, Ley Orgánica del Jurado Nacional de Elecciones.
07693/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Frente Popular Agrícola del Perú;LEY DE REFORMA CONSTITUCIONAL QUE PLANTEA LA AUTONOMÍA FUNCIONAL DEL CONGRESO DE LA REPÚBLICA Y DEL PODER EJECUTIVO;Propone establecer la autonomía funcional del Congreso de la República y del Poder Ejecutivo, a efectos de evitar una crisis política al inicio del mandato de un Consejo de Ministros.
07692/2020-CR;2016 - 2021;Tercera Legislatura Ordinaria 2020;12/05/2021;Congreso;Nueva Constitución;LEY QUE INCORPORA A LAS FARMACIAS PRIVADAS COMO ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCIÓN EN CASO DE EMERGENCIAS SANITARIAS;Propone establecer que las farmacias privadas sean reconocidas como establecimiento de salud de primer nivel de atención en caso de emergencia sanitaria, con el fin de poner mayor infraestructura sanitaria al servicio del pueblo.
